X_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
11101,ET,80,2011-01
11102,NY,136,2011-01
11103,SC,159,2011-01
11104,TO,367,2011-01
11105,ET,109,2011-02
11106,NY,150,2011-02
11107,SC,154,2011-02
11108,TO,383,2011-02
11109,ET,177,2011-03
11110,NY,231,2011-03
11111,SC,213,2011-03
11112,TO,589,2011-03
11113,ET,178,2011-04
11114,NY,277,2011-04
11115,SC,261,2011-04
11116,TO,660,2011-04
11117,ET,263,2011-05
11118,NY,376,2011-05
11119,SC,375,2011-05
11120,TO,871,2011-05
11121,ET,255,2011-06
11122,NY,365,2011-06
11123,SC,334,2011-06
11124,TO,870,2011-06
11125,ET,238,2011-07
11126,NY,364,2011-07
11127,SC,352,2011-07
11128,TO,989,2011-07
11129,ET,257,2011-08
11130,NY,366,2011-08
11131,SC,345,2011-08
11132,TO,965,2011-08
11133,ET,152,2011-09
11134,NY,255,2011-09
11135,SC,276,2011-09
11136,TO,638,2011-09
11137,ET,126,2011-10
11138,NY,201,2011-10
11139,SC,218,2011-10
11140,TO,468,2011-10
11141,ET,103,2011-11
11142,NY,191,2011-11
11143,SC,182,2011-11
11144,TO,340,2011-11
11145,ET,109,2011-12
11146,NY,171,2011-12
11147,SC,149,2011-12
11148,TO,356,2011-12
11149,ET,115,2012-01
11150,NY,176,2012-01
11151,SC,171,2012-01
11152,TO,440,2012-01
11153,ET,134,2012-02
11154,NY,195,2012-02
11155,SC,160,2012-02
11156,TO,390,2012-02
11157,ET,183,2012-03
11158,NY,234,2012-03
11159,SC,243,2012-03
11160,TO,567,2012-03
11161,ET,194,2012-04
11162,NY,225,2012-04
11163,SC,252,2012-04
11164,TO,561,2012-04
11165,ET,217,2012-05
11166,NY,294,2012-05
11167,SC,332,2012-05
11168,TO,807,2012-05
11169,ET,262,2012-06
11170,NY,353,2012-06
11171,SC,340,2012-06
11172,TO,888,2012-06
11173,ET,269,2012-07
11174,NY,404,2012-07
11175,SC,371,2012-07
11176,TO,971,2012-07
11177,ET,251,2012-08
11178,NY,353,2012-08
11179,SC,346,2012-08
11180,TO,980,2012-08
11181,ET,132,2012-09
11182,NY,233,2012-09
11183,SC,215,2012-09
11184,TO,563,2012-09
11185,ET,156,2012-10
11186,NY,208,2012-10
11187,SC,215,2012-10
11188,TO,486,2012-10
11189,ET,85,2012-11
11190,NY,180,2012-11
11191,SC,170,2012-11
11192,TO,391,2012-11
11193,ET,99,2012-12
11194,NY,163,2012-12
11195,SC,158,2012-12
11196,TO,365,2012-12
11197,ET,91,2013-01
11198,NY,169,2013-01
11199,SC,138,2013-01
11200,TO,365,2013-01
11201,ET,90,2013-02
11202,NY,163,2013-02
11203,SC,126,2013-02
11204,TO,346,2013-02
11205,ET,130,2013-03
11206,NY,217,2013-03
11207,SC,188,2013-03
11208,TO,455,2013-03
11209,ET,177,2013-04
11210,NY,298,2013-04
11211,SC,219,2013-04
11212,TO,666,2013-04
11213,ET,223,2013-05
11214,NY,310,2013-05
11215,SC,300,2013-05
11216,TO,748,2013-05
11217,ET,212,2013-06
11218,NY,286,2013-06
11219,SC,303,2013-06
11220,TO,778,2013-06
11221,ET,258,2013-07
11222,NY,450,2013-07
11223,SC,319,2013-07
11224,TO,972,2013-07
11225,ET,244,2013-08
11226,NY,324,2013-08
11227,SC,322,2013-08
11228,TO,931,2013-08
11229,ET,157,2013-09
11230,NY,232,2013-09
11231,SC,233,2013-09
11232,TO,607,2013-09
11233,ET,121,2013-10
11234,NY,163,2013-10
11235,SC,208,2013-10
11236,TO,448,2013-10
11237,ET,92,2013-11
11238,NY,162,2013-11
11239,SC,140,2013-11
11240,TO,315,2013-11
11241,ET,89,2013-12
11242,NY,146,2013-12
11243,SC,130,2013-12
11244,TO,314,2013-12
11245,ET,85,2014-01
11246,NY,186,2014-01
11247,SC,139,2014-01
11248,TO,375,2014-01
11249,ET,93,2014-02
11250,NY,134,2014-02
11251,SC,126,2014-02
11252,TO,364,2014-02
11253,ET,151,2014-03
11254,NY,201,2014-03
11255,SC,180,2014-03
11256,TO,530,2014-03
11257,ET,151,2014-04
11258,NY,240,2014-04
11259,SC,229,2014-04
11260,TO,674,2014-04
11261,ET,219,2014-05
11262,NY,318,2014-05
11263,SC,298,2014-05
11264,TO,847,2014-05
11265,ET,240,2014-06
11266,NY,309,2014-06
11267,SC,315,2014-06
11268,TO,942,2014-06
11269,ET,252,2014-07
11270,NY,348,2014-07
11271,SC,338,2014-07
11272,TO,1024,2014-07
11273,ET,239,2014-08
11274,NY,351,2014-08
11275,SC,288,2014-08
11276,TO,967,2014-08
11277,ET,169,2014-09
11278,NY,228,2014-09
11279,SC,225,2014-09
11280,TO,658,2014-09
11281,ET,126,2014-10
11282,NY,180,2014-10
11283,SC,206,2014-10
11284,TO,489,2014-10
11285,ET,77,2014-11
11286,NY,138,2014-11
11287,SC,111,2014-11
11288,TO,347,2014-11
11289,ET,109,2014-12
11290,NY,162,2014-12
11291,SC,157,2014-12
11292,TO,357,2014-12
11293,ET,123,2015-01
11294,NY,140,2015-01
11295,SC,149,2015-01
11296,TO,327,2015-01
11297,ET,108,2015-02
11298,NY,159,2015-02
11299,SC,130,2015-02
11300,TO,333,2015-02
11301,ET,155,2015-03
11302,NY,224,2015-03
11303,SC,222,2015-03
11304,TO,559,2015-03
11305,ET,149,2015-04
11306,NY,273,2015-04
11307,SC,257,2015-04
11308,TO,665,2015-04
11309,ET,245,2015-05
11310,NY,307,2015-05
11311,SC,306,2015-05
11312,TO,805,2015-05
11313,ET,268,2015-06
11314,NY,386,2015-06
11315,SC,346,2015-06
11316,TO,927,2015-06
11317,ET,317,2015-07
11318,NY,387,2015-07
11319,SC,390,2015-07
11320,TO,1090,2015-07
11321,ET,264,2015-08
11322,NY,336,2015-08
11323,SC,325,2015-08
11324,TO,930,2015-08
11325,ET,174,2015-09
11326,NY,251,2015-09
11327,SC,253,2015-09
11328,TO,713,2015-09
11329,ET,135,2015-10
11330,NY,211,2015-10
11331,SC,186,2015-10
11332,TO,478,2015-10
11333,ET,91,2015-11
11334,NY,176,2015-11
11335,SC,149,2015-11
11336,TO,342,2015-11
11337,ET,104,2015-12
11338,NY,169,2015-12
11339,SC,144,2015-12
11340,TO,335,2015-12
11341,ET,92,2016-01
11342,NY,156,2016-01
11343,SC,131,2016-01
11344,TO,346,2016-01
11345,ET,123,2016-02
11346,NY,170,2016-02
11347,SC,173,2016-02
11348,TO,364,2016-02
11349,ET,155,2016-03
11350,NY,197,2016-03
11351,SC,204,2016-03
11352,TO,517,2016-03
11353,ET,197,2016-04
11354,NY,257,2016-04
11355,SC,246,2016-04
11356,TO,695,2016-04
11357,ET,247,2016-05
11358,NY,326,2016-05
11359,SC,306,2016-05
11360,TO,895,2016-05
11361,ET,255,2016-06
11362,NY,344,2016-06
11363,SC,341,2016-06
11364,TO,1071,2016-06
11365,ET,274,2016-07
11366,NY,384,2016-07
11367,SC,348,2016-07
11368,TO,1041,2016-07
11369,ET,296,2016-08
11370,NY,358,2016-08
11371,SC,333,2016-08
11372,TO,1072,2016-08
11373,ET,228,2016-09
11374,NY,265,2016-09
11375,SC,207,2016-09
11376,TO,656,2016-09
11377,ET,139,2016-10
11378,NY,187,2016-10
11379,SC,171,2016-10
11380,TO,489,2016-10
11381,ET,82,2016-11
11382,NY,148,2016-11
11383,SC,135,2016-11
11384,TO,388,2016-11
11385,ET,96,2016-12
11386,NY,164,2016-12
11387,SC,125,2016-12
11388,TO,362,2016-12
11389,ET,102,2017-01
11390,NY,146,2017-01
11391,SC,147,2017-01
11392,TO,347,2017-01
11393,ET,104,2017-02
11394,NY,170,2017-02
11395,SC,139,2017-02
11396,TO,357,2017-02
11397,ET,183,2017-03
11398,NY,237,2017-03
11399,SC,223,2017-03
11400,TO,608,2017-03
11401,ET,173,2017-04
11402,NY,276,2017-04
11403,SC,222,2017-04
11404,TO,627,2017-04
